purple,indigo,gold,magenta,yellow,red,brown,green,lime,olive,blue,cyan,navy,silver,black,pink,maroon,teal,orange
"afuah, allan","altman, elizabeth j.","amft, andré","baldwin, carliss","herstatt, cornelius","bilgram, volker","bortoluzzi, guido","bradonjic, philip","cai, fangtong","cao, xinyan","dahl, darren w.","della santa, silvia","füller, johann","gong, yu","hakkarainen, louna","hossain, mokter","kankanhalli, atreyi","koch, stefan","liao, xiao"
"bastian, bettina","szulanski, gabriel","diener, kathleen","hienerth, christoph","block, jörn h.","gutstein, adele","yordanova, zornitsa","franke, nikolaus","qiu, shanshan","fang, xiang","fuchs, christoph","marchi, gianluca","jawecki, gregor","jia, fu","heiskanen, eva","leminen, seppo","kim, seung hyun","artmayr, philipp","xi, yunjiang"
"bogers, marcel","von hippel, eric","lüttgens, dirk","keinz, peter","henkel, joachim","marchuk, anna","escobar, octavio","lüthje, christian","zhu, wei","yang, yu","schreier, martin","tagliazucchi, giulia","matzler, kurt","shi, yangyan","helminen, pia","westerlund, mika","teo, hock hai","bierbamer, michael","ye, guangyu"
"mccarthy, ian p.","balka, kerstin","piller, frank t.","gemünden, hans georg","schweisfurth, tim g.","brem, alexander","khvatova, tatiana","ebbing, tobias","li, shuqin","chai, ruirui","prandelli, emanuela","giachetti, claudio","mühlbacher, hans","zhang, yufang","freeman, stephanie","nyström, anna greta","ye, hua jonathan","guceri-ucar, gozem","yu, juan"
"pitt, leyland","raasch, christina","ihl, christoph","killen, catherine p.","stiegler, annika","gladysz, bartosz","maalaoui, adnane","klausberger, katharina","qin, min","liu, wei","kohlbacher, florian","de gennaro, pamela","schroll, roland","sun, yanhua","johnson, mikael","rajahonka, mervi","li, mingguo","inanc, duygu","zantow, kenneth"
"west, joel","chen, jin","tarman, refik tarcan","sicotte, hélène","braun, viktor","ernst, markus","schiavone, francesco","reinsberger, kathrin",,,"ogawa, susumu",,"oliveira, pedro",,"juntunen, jouni k.","pacauskas, darius","ye, hua",,
"felin, teppo","de jong, jeroen p.j.","vossen, alexander","hamdi-kidar, linda","lehnen, jens","schulz, stefanie","villasalero, manuel","schirg, florian",,,"nishikawa, hidehiko",,"e cunha, miguel pina",,"mäkinen, samuli","mäntymäki, matti",,,
"lakhani, karim r.","su, yu shan","kleer, robin","le nagard, emmanuelle","schmidt, tobias sebastian",,"ghasemzadeh, khatereh","goduscheit, rené chester",,,"oberhauser, stefan",,"veloso, francisco",,"hyysalo, sampsa","rajala, risto",,,
"tushman, michael l.","flowers, stephen","pollok, patrick","vellera, cyrielle","pieper, thorsten",,"raïes, karine","jørgensen, jacob høj",,,"prügl, reinhard",,"van der boor, paul",,"repo, petteri",,,,
,"gault, fred","steiner, frank","vernette, eric","skiba, florian",,"rivieccio, giorgia","hinsch, mareike e.",,,"pongtanalert, kritinee",,,,"timonen, päivi",,,,
,"gillert, nils lennart",,"berg jensen, morten","tietze, frank",,,"stockstrom, christoph s.",,,"pasquini, martina",,,,"usenyuk, svetlana",,,,
,"kuusisto, jari",,"lettl, christopher","wellner, konstantin",,,"morrison, pamela d.",,,"verona, gianmario",,,,"kristensson, per",,,,
,"poldervaart, sabrine",,,"zaggl, michael a.",,,"roberts, john h.",,,"yu, xin",,,,"stewart, james",,,,
,"rigtering, coen",,,,,,"tietz, robert",,,,,,,"trischler, jakob",,,,
,"spaans, lara",,,,,,,,,,,,,,,,,
,"stock, ruth maria",,,,,,,,,,,,,,,,,
,"friedmann, jens christian",,,,,,,,,,,,,,,,,
,"wu, nety",,,,,,,,,,,,,,,,,
,"gambardella, alfonso",,,,,,,,,,,,,,,,,
,"gobble, maryanne m.",,,,,,,,,,,,,,,,,
,"euchner, jim",,,,,,,,,,,,,,,,,
,"lock, phillip",,,,,,,,,,,,,,,,,
,"janzik, lars",,,,,,,,,,,,,,,,,
,"kuusisto, arja",,,,,,,,,,,,,,,,,
,"yli-viitala, pirjo",,,,,,,,,,,,,,,,,
,"mulhuijzen, max",,,,,,,,,,,,,,,,,
,"katz, ralph",,,,,,,,,,,,,,,,,
,"kaulartz, sandro",,,,,,,,,,,,,,,,,
,"paradiso, joseph a.",,,,,,,,,,,,,,,,,
,"wu, chia huei",,,,,,,,,,,,,,,,,
