maroon,teal,gold,orange,green,yellow,fuchsia,purple,pink,brown,indigo,magenta,lime,olive,navy,silver,black,crimson,grey,coral,darkblue,lightcoral,darkred,darkviolet,darkorange,darkcyan,forestgreen,darkturquoise,deeppink,dodgerblue,firebrick,goldenrod,hotpink,indianred,khaki,lawngreen,lightblue,lightgreen,lightpink,lightseagreen,lightskyblue,lightslategray,lightsteelblue,greenyellow,red,blue,cyan,lightsalmon,darkgreen,darkmagenta
"adams, pamela","afuah, allan","agostini, lara","antorini, yun mi","arvanitis, spyros","bae, zong tae","balka, kerstin","berends, hans","bilgram, volker","björk, jennie","bortoluzzi, guido","buganza, tommaso","bäckström, izabelle","chandra, yanto","chatterji, aaron k.","chen, xiaohong","cui, miao","di gangi, paul m.","faulkner, philip","ford, simon j.","fritzsche, albrecht","fuchs, christoph","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","hakkarainen, louna","hamdi-kidar, linda","harrison, debbie","hartmann, mia rosa","hassan, salah s.","jahanmir, sara f.","karantinou, kalipso","leminen, seppo","liang, hua","miyazawa, jun ichi","o'hern, matthew","oliveira, pedro","peine, alexander","raïes, karine","schaarschmidt, mario","schmidt-keilich, marc","schulz, michael","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d.","wang, lei","wang, yonggui","xi, yunjiang"
"fontana, roberto","bastian, bettina","filippini, roberto","jensen, morten berg","fuchs, barbara","kang, shin hyung","herstatt, cornelius","deken, fleur","gutstein, adele","magnusson, mats","yordanova, zornitsa","dell'era, claudio","bengtsson, lars","leenders, mark a.a.m.","fabrizio, kira","probert, david","liu, yan","wasko, molly","runde, jochen","jaeger, manuel","moeslein, kathrin m.","dahl, darren w.","linton, jonathan","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","heiskanen, eva","keinz, peter","waluszewski, alexandra","hartmann, rasmus koss","mourad, maha","lages, luis filipe","goffin, keith","nyström, anna greta","zhang, zongyi","takahashi, shingo","ye, jun","veloso, francisco","herrmann, andrea m.","schiavone, francesco","kilian, thomas","schrader, ulf","völckner, franziska","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b.","chiao, benjamin","li, dahui","liao, xiao"
"malerba, franco","bogers, marcel","nosella, anna","nørskov, sladjana","woerter, martin","kim, joong hyun","raasch, christina","feldberg, frans","marchuk, anna","sandström, gunilla ölundh","escobar, octavio","pellizzoni, elena",,"cong, ling mei",,"su, jun","qian, jinfang",,,"mortara, letizia","naik, hari suman","oberhauser, stefan","nefedova, alena","marchi, gianluca",,,"helminen, pia","le nagard, emmanuelle",,"svensson, peter o.","tolba, ahmed h.",,"sakellariou, evy","westerlund, mika",,"yoshida, daichi","wu, jiajun","van der boor, paul",,"rivieccio, giorgia",,,,"shin, jongtae",,,,"zhou, yahong",,"ye, guangyu"
,"west, joel",,,,,"braun, viktor","borner, kathrin","brem, alexander","wadell, carl","villasalero, manuel","trabucchi, daniel",,"zhou, michael",,"zhou, yuan",,,,,,"prügl, reinhard","thurner, thomas",,,,"freeman, stephanie","vellera, cyrielle",,,,,,,,,,,,,,,,,,,,,,"yu, juan"
,,,,,,"lock, phillip",,"gladysz, bartosz",,"ghasemzadeh, khatereh",,,,,,,,,,,"schreier, martin",,,,,"johnson, mikael","vernette, eric",,,,,,,,,,,,,,,,,,,,,,"zantow, kenneth"
,,,,,,"von hippel, eric",,"ernst, markus",,,,,,,,,,,,,,,,,,"juntunen, jouni k.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"janzik, lars",,"schulz, stefanie",,,,,,,,,,,,,,,,,,"mäkinen, samuli",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"lehnen, jens",,,,,,,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"schmidt, tobias sebastian",,,,,,,,,,,,,,,,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"lüthje, christian",,,,,,,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"morrison, pamela d.",,,,,,,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"pieper, thorsten",,,,,,,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"schweisfurth, tim g.",,,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"skiba, florian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"tietz, robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"tietze, frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"wellner, konstantin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"zaggl, michael a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
